Node	PosxNode	PosyNode	Name	Lines
2891	446135,5	4481187	GREGORIO SANCHEZ HERRAEZ-M40	87/2 502/1
2892	445159,8	4480590	VALDETORRES DE JARAMA-TORREGROSA	120/2 125/2 172/2 372/2
2894	446611	4481446	Cº DE MONTORO-MARUJA MALLO	87/1
2895	437278,8	4469247	AV.DEL EURO-OBOLO	155/2
2896	446827,7	4481092	Cº DEL OLIVAR-GRAMA	87/1 87/2
2897	446865,1	4481362	GRAMA-Cº VALDEHIGUERA	87/2
2899	446444	4481692	MURIAS DE PAREDES-HERMANOS GASCON	87/2
2900	446363	4481874	MURIAS DE PAREDES-MORERUELA	87/2
2901	446206	4481812	MOMBUEY-ROBLA	87/2
2903	444047	4479696	EMETERIO CASTAÑOS-MANUEL URIBE	87/2
2904	443899,4	4479526	EMETERIO CASTAÑOS-ARTURO SORIA	87/2
2905	441454	4471226	EMBAJADORES-BRONCE	62/1 148/1 156/2 453/1
2906	441469,7	4471252	EMBAJADORES-BRONCE	62/2 148/2 156/1 453/2
2907	441541,2	4471085	EMBAJADORES-AV.PLANETARIO	62/1 453/1
2908	441552	4471111	EMBAJADORES-AV.PLANETARIO	62/2 453/2
2909	442815,1	4469000	EMBAJADORES-STA.CATALINA	453/1
2910	442825	4469042	EMBAJADORES-STA.CATALINA	453/2
2916	441187	4471580	Pº MOLINO-PZA.LEGAZPI	62/2 148/2 156/1 180/2 453/2
2917	442431	4472002	MENDEZ ALVARO-EST.SUR DE AUTOBUSES	102/1 148/1 152/1 511/1
2918	442501	4471979	MENDEZ ALVARO-AV.PLANETARIO	102/2 152/2
2920	442555	4471857	MENDEZ ALVARO-ARIEL	102/1 148/1 152/1 511/1
2921	442596	4471860	MENDEZ ALVARO-EST.SUR DE AUTOBUSES	152/1 152/2 511/2
2922	442833,8	4471631	MENDEZ ALVARO-M30	102/1 511/1
2923	442841	4471643	MENDEZ ALVARO-M30	102/2 511/2
2924	443081,9	4471300	AV.ENTREVIAS-T.PEREZ RUBIO	102/1 511/1
2925	443096	4471303	AV.ENTREVIAS-T.PEREZ RUBIO	102/2 511/2
2926	443156	4470974	AV.ENTREVIAS-MEJORANA	102/1 511/1
2927	443176	4470965	AV.ENTREVIAS-MEJORANA	102/2 511/2
2928	443147	4470863	CARDEÑOSA-CONDE RGUEZ.SAN PEDRO	102/1 511/1
2929	443003	4470605	CARDEÑOSA-LAGARTERA	102/1 511/1
2930	442736,6	4470354	RUIDERA-BOHONAL	102/1 111/1
2931	442906,8	4470179	RONDA SUR-STA.RAFAELA	102/1 111/1
2932	442980	4470120	RONDA SUR-STA.RAFAELA	102/2 111/2
2933	443330	4469995	SERENA-BARROS	102/1
2934	443883,4	4469680	RONDA SUR-AV.DE LAS GLORIETAS	102/1 103/2 511/1
2935	437429,6	4469501	AV.DEL EURO-ENRIQUE DE ORO	155/2
2936	443574	4469824	VILLUERCAS-BARROS	102/2
2937	443283	4469716	HORNACHOS-MONTANCHEZ	102/2 111/1 111/2
2938	443128	4469722	RONDA SUR-MONTANCHEZ	102/2 111/2
2939	443251	4469897	RONDA SUR-SERENA	102/2 111/2
2940	442744,2	4470305	BOHONAL-RUIDERA	102/2 111/2
2941	443048,8	4470551	SIERRA CONTRAVIESA-LAGARTERA	102/2 511/2
2942	443141,2	4470741	SIERRA CONTRAVIESA-C.RGUEZ.SAN PEDRO	102/2 511/2
2943	444264,4	4471103	JAVIER DE MIGUEL Nº 65	310/2
2944	446230	4476858	ALCALA-GENERAL ARANAZ	77/2 104/2
2945	446651,3	4476980	ALCALA-ALFONSO GOMEZ	77/1 104/1 505/1
2946	446608,5	4476987	ALCALA-ALEGRIA DE ORIA	77/2 104/2 505/2
2947	446842,2	4477047	ALCALA-METRO DE SUANZES	77/1 104/1 505/1
2948	446864	4477077	ALCALA-METRO DE SUANZES	77/2 104/2 505/2
2949	447188,9	4477168	ALCALA-SAN ROMUALDO	77/1 104/1 505/1
2950	447182	4477189	ALCALA-AV.25 DE SEPTIEMBRE	77/2 104/2
2951	447852	4477416	ALCALA-AV.CANILLEJAS A VICALVARO	77/1 105/1 140/1 153/1 505/1
2952	447815	4477426	ALCALA-AV.CANILLEJAS A VICALVARO	77/2 105/2
2953	448032,8	4477579	ALCALA-SAN MARIANO	77/1 105/1 140/1 153/1 505/1
2954	448026	4477599	ALCALA-EDUARDO TERAN	77/2 105/2 140/2 153/2 505/2
2955	448262,3	4477768	ALCALA-ESFINGE	77/1 140/1 505/1
2956	448537	4477981	ALCALA Nº 640-CANILLEJAS	77/1 505/1
2960	437143,1	4469131	AV.DEL EURO-AGUACATE	155/1
2961	437020	4468956	AV.DEL EURO-PESO HISPANO	155/1
2962	436865,2	4468789	AV.DEL EURO-DURO	155/1
2964	436563,1	4468512	AV.DE LA PESETA-MARAVEDI	35/2 118/1 155/1 516/1
2965	436315	4468446	AV.DE LA PESETA-CORONA	35/2 118/1 155/1 516/1
2967	440497,9	4475816	CARRANZA-GTA.BILBAO	21/1 147/1
2968	440596	4484055	MONASTERIO SILOS-MONASTERIO MONTESCLAROS	134/1 178/1 523/1
2969	450827	4478195	TRESPADERNE-BARBADILLO	112/1 112/2 114/1 114/2 504/1
2970	440903,1	4484075	MONASTERIO SILOS-AV.MONTECARMELO	134/1 178/1 523/1
2971	450777	4479065	BERGANTIN-GALEON	114/2 504/1
2972	450669	4479107	AV.CANTABRIA-PZA.GOLETA	114/2 504/1
2973	450431	4478889	AV.CANTABRIA-BERGANTIN	114/2 504/1
2974	450280,8	4478793	AV.CANTABRIA-CENTRO DE SALUD	112/1 114/2 115/2 151/2 504/2
2975	448006	4477886	GUTIERREZ CANALES-FERNANDO MIJARES	105/2 153/2
2976	448008	4477905	GUTIERREZ CANALES-GTA.EOLO	105/1 153/1
2977	446096	4476811	ALCALA-ARTURO SORIA	77/2 104/2 505/2
2978	449328,9	4478596	Pº ALAMEDA OSUNA-PQUE.CAPRICHO	101/1 105/1 151/1
2979	449313,8	4478604	Pº ALAMEDA DE OSUNA-PQUE.CAPRICHO	105/2
2980	449673,7	4478675	Pº ALAMEDA OSUNA-RAMBLA	101/1 105/1 151/1
2981	449618	4478675	Pº ALAMEDA DE OSUNA-RAMBLAS	105/2
2982	449907,2	4478773	Pº ALAMEDA OSUNA-CARABELA	101/1 105/1 151/1
2983	449858	4478753	Pº ALAMEDA DE OSUNA-CARABELA	105/2
2984	450140,4	4478992	Pº ALAMEDA DE OSUNA-MANUEL AGUILAR MUÑOZ	105/1
2985	450092	4478969	Pº ALAMEDA DE OSUNA-MANUEL AGUILAR MUÑOZ	105/2
2986	450474	4480619	TIMON-GRAN PODER	105/1
